time    band  flux        fluxerr      zp     zpsys redshift
295.5   cspi  0.211998   0.000466019  14.767  csp  0.0157
298.53  cspi  0.21574    0.000556411  14.767  csp  0.0157
300.51  cspi  0.212584   0.000603321  14.767  csp  0.0157
301.51  cspi  0.207745   0.000316429  14.767  csp  0.0157
302.51  cspi  0.20622    0.000248522  14.767  csp  0.0157
303.51  cspi  0.203391   0.000300107  14.767  csp  0.0157
304.52  cspi  0.203016   0.000776692  14.767  csp  0.0157
305.51  cspi  0.187902   0.00034467   14.767  csp  0.0157
307.55  cspi  0.168551   0.000225142  14.767  csp  0.0157
308.52  cspi  0.155      0.000152151  14.767  csp  0.0157
309.51  cspi  0.14399    0.000177176  14.767  csp  0.0157
310.52  cspi  0.133392   0.000146354  14.767  csp  0.0157
311.52  cspi  0.124374   0.000105307  14.767  csp  0.0157
312.51  cspi  0.116287   0.000103849  14.767  csp  0.0157
321.54  cspi  0.076618   4.70488e-05  14.767  csp  0.0157
329.53  cspi  0.0577472  2.83595e-05  14.767  csp  0.0157
341.54  cspi  0.0384354  2.42258e-05  14.767  csp  0.0157
266.52  cspb  0.0495902  9.69297e-06  14.529  csp  0.0157
267.52  cspb  0.0755432  2.77624e-05  14.529  csp  0.0157
268.52  cspb  0.107497   7.82355e-05  14.529  csp  0.0157
269.54  cspb  0.140022   0.000108212  14.529  csp  0.0157
270.55  cspb  0.176928   0.000155369  14.529  csp  0.0157
271.55  cspb  0.209409   0.000295989  14.529  csp  0.0157
272.55  cspb  0.241099   0.000505193  14.529  csp  0.0157
273.54  cspb  0.267791   0.000547363  14.529  csp  0.0157
274.51  cspb  0.292816   0.000684346  14.529  csp  0.0157
275.52  cspb  0.31347    0.000973771  14.529  csp  0.0157
276.58  cspb  0.326134   0.00197105   14.529  csp  0.0157
277.51  cspb  0.336508   0.00116267   14.529  csp  0.0157
278.51  cspb  0.340875   0.00140089   14.529  csp  0.0157
279.52  cspb  0.339622   0.000991461  14.529  csp  0.0157
280.51  cspb  0.33128    0.000745359  14.529  csp  0.0157
281.51  cspb  0.31871    0.000676652  14.529  csp  0.0157
287.56  cspb  0.197604   0.000204817  14.529  csp  0.0157
288.56  cspb  0.177744   0.000235753  14.529  csp  0.0157
289.57  cspb  0.158707   0.000177606  14.529  csp  0.0157
290.57  cspb  0.140668   0.000131358  14.529  csp  0.0157
291.55  cspb  0.123764   7.94833e-05  14.529  csp  0.0157
292.55  cspb  0.109394   7.00579e-05  14.529  csp  0.0157
294.5   cspb  0.0852306  4.37929e-05  14.529  csp  0.0157
295.5   cspb  0.0766647  3.3605e-05   14.529  csp  0.0157
298.53  cspb  0.0551309  2.10526e-05  14.529  csp  0.0157
300.51  cspb  0.0467515  1.39414e-05  14.529  csp  0.0157
301.51  cspb  0.0438324  1.77991e-05  14.529  csp  0.0157
302.51  cspb  0.0405318  1.46351e-05  14.529  csp  0.0157
303.51  cspb  0.0365591  1.20622e-05  14.529  csp  0.0157
304.52  cspb  0.0347853  2.39667e-05  14.529  csp  0.0157
305.51  cspb  0.0335889  1.58591e-05  14.529  csp  0.0157
307.55  cspb  0.0278609  1.2613e-05   14.529  csp  0.0157
308.52  cspb  0.0275801  3.35389e-06  14.529  csp  0.0157
309.51  cspb  0.025858   2.85462e-06  14.529  csp  0.0157
310.52  cspb  0.0246261  2.52667e-06  14.529  csp  0.0157
311.52  cspb  0.0238229  2.32567e-06  14.529  csp  0.0157
329.53  cspb  0.0150174  2.85347e-06  14.529  csp  0.0157
341.54  cspb  0.0135455  2.33081e-06  14.529  csp  0.0157
