time    band  flux        fluxerr      zp     zpsys redshift
413.7   cspg  1.16575    0.00678938   15.271  csp  0.022
414.68  cspg  1.12048    0.00546609   15.271  csp  0.022
415.73  cspg  1.08194    0.00438212   15.271  csp  0.022
416.66  cspg  1.02661    0.00439214   15.271  csp  0.022
417.71  cspg  0.966951   0.00378161   15.271  csp  0.022
418.71  cspg  0.904907   0.00320388   15.271  csp  0.022
419.68  cspg  0.842179   0.00267718   15.271  csp  0.022
420.74  cspg  0.769492   0.00293751   15.271  csp  0.022
421.77  cspg  0.706325   0.00323354   15.271  csp  0.022
422.69  cspg  0.669585   0.00301792   15.271  csp  0.022
423.66  cspg  0.608983   0.00803491   15.271  csp  0.022
424.67  cspg  0.561572   0.00473862   15.271  csp  0.022
425.66  cspg  0.523605   0.00254992   15.271  csp  0.022
426.67  cspg  0.48731    0.00136366   15.271  csp  0.022
427.67  cspg  0.452693   0.00106336   15.271  csp  0.022
428.64  cspg  0.420926   0.000768299  15.271  csp  0.022
429.66  cspg  0.384949   0.000567242  15.271  csp  0.022
430.65  cspg  0.360252   0.000560681  15.271  csp  0.022
431.62  cspg  0.335278   0.000401578  15.271  csp  0.022
432.65  cspg  0.316375   0.000347352  15.271  csp  0.022
436.66  cspg  0.240439   0.000145743  15.271  csp  0.022
438.65  cspg  0.21311    0.000129351  15.271  csp  0.022
444.67  cspg  0.157835   6.61501e-05  15.271  csp  0.022
445.66  cspg  0.148117   5.64328e-05  15.271  csp  0.022
446.67  cspg  0.14106    5.76341e-05  15.271  csp  0.022
452.6   cspg  0.118852   0.000425633  15.271  csp  0.022
453.58  cspg  0.120394   0.000113773  15.271  csp  0.022
454.61  cspg  0.112048   7.13019e-05  15.271  csp  0.022
455.62  cspg  0.116253   8.29191e-05  15.271  csp  0.022
456.59  cspg  0.103515   5.67203e-05  15.271  csp  0.022
457.59  cspg  0.10304    4.9062e-05   15.271  csp  0.022
458.58  cspg  0.101532   3.20879e-05  15.271  csp  0.022
459.57  cspg  0.0994041  2.72293e-05  15.271  csp  0.022
460.57  cspg  0.0985836  2.19642e-05  15.271  csp  0.022
464.55  cspg  0.0942332  1.82193e-05  15.271  csp  0.022
465.61  cspg  0.0899922  1.49888e-05  15.271  csp  0.022
466.6   cspg  0.0903244  1.89094e-05  15.271  csp  0.022
472.55  cspg  0.0823767  1.10149e-05  15.271  csp  0.022
474.53  cspg  0.0806499  1.23461e-05  15.271  csp  0.022
476.52  cspg  0.0765957  1.41918e-05  15.271  csp  0.022
478.55  cspg  0.0773045  2.30649e-05  15.271  csp  0.022
479.55  cspg  0.0770201  3.97819e-05  15.271  csp  0.022
480.51  cspg  0.0763843  2.23847e-05  15.271  csp  0.022
397.73  cspr  0.516518   0.00200808   14.975  csp  0.022
398.76  cspr  0.577412   0.00140467   14.975  csp  0.022
399.72  cspr  0.642519   0.00224247   14.975  csp  0.022
400.72  cspr  0.6728     0.00160115   14.975  csp  0.022
401.7   cspr  0.725582   0.00193389   14.975  csp  0.022
402.69  cspr  0.746598   0.00237369   14.975  csp  0.022
403.74  cspr  0.769638   0.00224094   14.975  csp  0.022
404.72  cspr  0.795586   0.00278243   14.975  csp  0.022
406.72  cspr  0.812618   0.00330048   14.975  csp  0.022
407.77  cspr  0.823923   0.00303684   14.975  csp  0.022
408.73  cspr  0.833848   0.00391142   14.975  csp  0.022
409.73  cspr  0.820136   0.00300208   14.975  csp  0.022
410.74  cspr  0.823923   0.00265725   14.975  csp  0.022
411.73  cspr  0.805911   0.00287358   14.975  csp  0.022
412.72  cspr  0.790473   0.00273794   14.975  csp  0.022
413.7   cspr  0.765397   0.00284169   14.975  csp  0.022
414.68  cspr  0.7418     0.00204376   14.975  csp  0.022
415.73  cspr  0.70972    0.00261417   14.975  csp  0.022
416.66  cspr  0.681533   0.00212606   14.975  csp  0.022
417.71  cspr  0.644891   0.00205747   14.975  csp  0.022
418.71  cspr  0.617003   0.00165796   14.975  csp  0.022
419.68  cspr  0.580078   0.00142094   14.975  csp  0.022
420.74  cspr  0.557039   0.00128403   14.975  csp  0.022
421.77  cspr  0.518904   0.00131439   14.975  csp  0.022
422.69  cspr  0.505691   0.00134436   14.975  csp  0.022
424.67  cspr  0.495093   0.00329379   14.975  csp  0.022
425.66  cspr  0.478505   0.00175633   14.975  csp  0.022
426.67  cspr  0.467613   0.0011975    14.975  csp  0.022
427.67  cspr  0.45278    0.0010198    14.975  csp  0.022
428.64  cspr  0.448215   0.00107715   14.975  csp  0.022
429.66  cspr  0.438013   0.000704004  14.975  csp  0.022
430.65  cspr  0.426467   0.00065853   14.975  csp  0.022
431.62  cspr  0.412939   0.000675044  14.975  csp  0.022
432.65  cspr  0.409908   0.000662724  14.975  csp  0.022
436.66  cspr  0.361648   0.000436088  14.975  csp  0.022
438.65  cspr  0.343152   0.000382451  14.975  csp  0.022
444.67  cspr  0.251123   0.000194685  14.975  csp  0.022
445.66  cspr  0.241149   0.000175927  14.975  csp  0.022
446.67  cspr  0.224433   0.000161706  14.975  csp  0.022
453.58  cspr  0.165001   0.000143071  14.975  csp  0.022
454.61  cspr  0.164092   0.00011423   14.975  csp  0.022
455.62  cspr  0.15962    0.000106606  14.975  csp  0.022
456.59  cspr  0.154556   8.6781e-05   14.975  csp  0.022
457.59  cspr  0.151038   6.55411e-05  14.975  csp  0.022
458.58  cspr  0.147193   6.65697e-05  14.975  csp  0.022
459.57  cspr  0.141738   5.59131e-05  14.975  csp  0.022
460.57  cspr  0.136486   5.0876e-05   14.975  csp  0.022
464.55  cspr  0.124476   4.37801e-05  14.975  csp  0.022
465.61  cspr  0.120195   3.70265e-05  14.975  csp  0.022
466.6   cspr  0.117027   3.46348e-05  14.975  csp  0.022
472.55  cspr  0.100158   1.95584e-05  14.975  csp  0.022
474.53  cspr  0.0943379  1.85236e-05  14.975  csp  0.022
476.52  cspr  0.0903414  2.41799e-05  14.975  csp  0.022
478.55  cspr  0.0855631  2.24276e-05  14.975  csp  0.022
479.55  cspr  0.0805169  4.07977e-05  14.975  csp  0.022
480.51  cspr  0.0811123  2.42411e-05  14.975  csp  0.022
397.73  cspi  0.263908   0.00100931   14.767  csp  0.022
398.76  cspi  0.295021   0.000459862  14.767  csp  0.022
399.72  cspi  0.322889   0.000518645  14.767  csp  0.022
400.72  cspi  0.339353   0.000391542  14.767  csp  0.022
401.7   cspi  0.357975   0.000522066  14.767  csp  0.022
402.69  cspi  0.355019   0.000511357  14.767  csp  0.022
403.74  cspi  0.35404    0.000507837  14.767  csp  0.022
404.72  cspi  0.346299   0.000549183  14.767  csp  0.022
406.72  cspi  0.327078   0.00059515   14.767  csp  0.022
407.77  cspi  0.321996   0.000629535  14.767  csp  0.022
408.73  cspi  0.313798   0.000590228  14.767  csp  0.022
409.73  cspi  0.310635   0.000523151  14.767  csp  0.022
410.74  cspi  0.303845   0.000544526  14.767  csp  0.022
411.73  cspi  0.289636   0.000483081  14.767  csp  0.022
412.72  cspi  0.285662   0.000636383  14.767  csp  0.022
413.7   cspi  0.277877   0.000475125  14.767  csp  0.022
414.68  cspi  0.258138   0.000428125  14.767  csp  0.022
415.73  cspi  0.24949    0.000362917  14.767  csp  0.022
416.66  cspi  0.233052   0.000331566  14.767  csp  0.022
417.71  cspi  0.222357   0.00027215   14.767  csp  0.022
418.71  cspi  0.208859   0.000252098  14.767  csp  0.022
419.68  cspi  0.197084   0.000201284  14.767  csp  0.022
420.74  cspi  0.190657   0.000231589  14.767  csp  0.022
421.77  cspi  0.193844   0.000337946  14.767  csp  0.022
422.69  cspi  0.183253   0.000391548  14.767  csp  0.022
425.66  cspi  0.192421   0.000537163  14.767  csp  0.022
426.67  cspi  0.192067   0.000298799  14.767  csp  0.022
427.67  cspi  0.198908   0.000291793  14.767  csp  0.022
428.64  cspi  0.194918   0.000261064  14.767  csp  0.022
429.66  cspi  0.195818   0.000214571  14.767  csp  0.022
430.65  cspi  0.200933   0.000228861  14.767  csp  0.022
431.62  cspi  0.203354   0.000272094  14.767  csp  0.022
432.65  cspi  0.198725   0.000256873  14.767  csp  0.022
436.66  cspi  0.194201   0.00021017   14.767  csp  0.022
438.65  cspi  0.195998   0.000198522  14.767  csp  0.022
444.67  cspi  0.153409   0.000107599  14.767  csp  0.022
445.66  cspi  0.144096   9.20043e-05  14.767  csp  0.022
446.67  cspi  0.136098   8.64112e-05  14.767  csp  0.022
453.58  cspi  0.0905842  6.72644e-05  14.767  csp  0.022
454.61  cspi  0.091929   4.73567e-05  14.767  csp  0.022
455.62  cspi  0.086189   4.45499e-05  14.767  csp  0.022
456.59  cspi  0.0852418  4.12721e-05  14.767  csp  0.022
457.59  cspi  0.0823857  3.22163e-05  14.767  csp  0.022
458.58  cspi  0.0792597  2.92466e-05  14.767  csp  0.022
459.57  cspi  0.0756925  2.45328e-05  14.767  csp  0.022
460.57  cspi  0.0730218  2.24257e-05  14.767  csp  0.022
464.55  cspi  0.0641877  1.82768e-05  14.767  csp  0.022
465.61  cspi  0.0612424  1.4446e-05   14.767  csp  0.022
466.6   cspi  0.0599034  1.70866e-05  14.767  csp  0.022
472.55  cspi  0.0475831  1.10498e-05  14.767  csp  0.022
474.53  cspi  0.0466716  8.69721e-06  14.767  csp  0.022
476.52  cspi  0.0439594  8.67062e-06  14.767  csp  0.022
478.55  cspi  0.0426828  9.5192e-06   14.767  csp  0.022
479.55  cspi  0.0433963  2.06073e-05  14.767  csp  0.022
480.51  cspi  0.0381111  1.02054e-05  14.767  csp  0.022
